#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pēc Valsts kontroles aizrādījumiem Jelgavas pašvaldība apņemas rūpīgāk kontrolēt savas aģentūras
1-1	0-3	Pēc	_	_	_	_	_	_	_	_	_	_	_	_	sppd	pēc	_	_	_	_	case	basic	1-4	
1-2	4-10	Valsts	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg6	valsts	organization[1]	*[1]	_	_	nmod	basic	1-3	
1-3	11-20	kontroles	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg5	kontrole	organization[1]	*[1]	_	_	nmod	basic	1-4	
1-4	21-34	aizrādījumiem	Masc	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Masc\|Number=Plur	*	*	ncmpd1	aizrādījums	_	_	_	_	obl	basic	1-7	
1-5	35-43	Jelgavas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	npfsg4	Jelgava	organization[2]|GPE[3]	*[2]|*[3]	*[1]	*->1-1	nmod	basic	1-6	
1-6	44-54	pašvaldība	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	pašvaldība	organization[2]	*[2]	*[1]	*->1-1	nsubj	basic	1-7	
1-7	55-62	apņemas	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Reflex=Yes\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vmyipi130an	apņemties	_	_	_	_	root	basic	1-7	
1-8	63-70	rūpīgāk	*	*	*	Cmp	*	*	*	*	*	Degree=Cmp	*	*	rcm	rūpīgi	_	_	_	_	advmod	basic	1-9	
1-9	71-80	kontrolēt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0t2000n	kontrolēt	_	_	_	_	ccomp	basic	1-7	
1-10	81-86	savas	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur\|Poss=Yes\|PronType=Prs	*	*	ps0fpan	sava	_	_	*[1]	*->1-2	det	basic	1-11	
1-11	87-96	aģentūras	Fem	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Plur	*	*	ncfpa4	aģentūra	_	_	_	_	obj	basic	1-9	
